price_1month,price_3month,price_6month,종목코드,공시일
16150,20000,17150,100030,2020-02-07
9000,7620,9500,141000,2020-02-07
3555,3610,4190,093520,2020-02-07
3555,3610,4190,093520,2020-02-07
72000,69800,62500,057050,2020-02-10
19300,19200,25550,000880,2020-02-11
10965,10032,12956,259630,2020-02-11
14050,15950,16100,042420,2020-02-12
14050,15950,16100,042420,2020-02-12
13650,16000,22050,187870,2020-02-12
48450,60700,60100,067160,2020-02-12
48450,60700,60100,067160,2020-02-12
10638,11142,11848,115390,2020-02-12
2245,2550,2415,009160,2020-02-13
2245,2550,2415,009160,2020-02-13
5000,6590,7650,083930,2020-02-13
3395,4890,6050,039340,2020-02-13
26650,29200,30050,004490,2020-02-17
1530,1785,1725,003610,2020-02-17
5006,7527,6946,138580,2020-02-18
9900,15050,12350,000060,2020-02-20
12698,19047,36763,009830,2020-02-20
5180,8200,7620,053690,2020-02-20
5180,8200,7620,053690,2020-02-20
17400,28750,33700,079550,2020-02-20
15000,23900,25700,012450,2020-02-21
15000,23900,25700,012450,2020-02-21
7030,12150,10800,000050,2020-02-24
1145,1650,1455,009270,2020-02-24
1145,1650,1455,009270,2020-02-24
1145,1650,1455,009270,2020-02-24
47850,59500,59200,003650,2020-02-25
7330,10300,9830,004360,2020-02-25
3500,4725,13400,038460,2020-02-25
22850,28650,43200,010780,2020-02-25
6980,8540,6890,006060,2020-02-25
768,1268,1089,299900,2020-02-25
1227,2145,2051,057540,2020-02-25
1730,1875,1900,101060,2020-02-26
2140,3300,4325,035200,2020-02-26
2140,3300,4325,035200,2020-02-26
3880,4900,4470,093190,2020-02-26
2542,4191,4908,042500,2020-02-26
27350,33100,27800,060980,2020-02-26
1340,2090,1675,099440,2020-02-27
72600,77400,84900,268280,2020-02-27
72600,77400,84900,268280,2020-02-27
34546,43216,40600,017800,2020-02-27
34546,43216,40600,017800,2020-02-27
4918,5727,5333,003690,2020-02-27
3373,3833,3453,092460,2020-02-28
4580,4930,4900,000390,2020-02-28
7350,8560,14100,011040,2020-02-28
7470,9840,11200,012630,2020-02-28
16700,26800,26050,123420,2020-03-02
6990,8170,15800,250000,2020-03-02
6990,8170,15800,250000,2020-03-02
3700,4140,4095,013570,2020-03-02
11750,18900,36850,003090,2020-03-02
12700,15950,15200,036530,2020-03-02
